ID,BusinessName,AddressLine2,AddressLine3,PostCode,Longitude,Latitude
568576,Cafe Amalfi,19 Carmunnock Road,Glasgow,G44 4TZ,-4.256752,55.825042
24725,Cafe Andaluz,15 St Vincent Place,Glasgow,G1 2DW,-4.252437,55.860864
90588,Cafe Andaluz,2 Cresswell Lane,Glasgow,G12 8AA,-4.292252,55.875911
406756,Cafe Asia,1359 Barrhead Road,Glasgow,G53 7DA,-4.362746,55.821792
119069,Cafe Avanti,26 Merkland Street,Glasgow,G11 6DB,-4.30912,55.870275
73331,Cafe B Encore At Blair Court,100 Borron Street,Glasgow,G4 9XG,-4.24913,55.87526
48928,Cafe Bella Turca,563 Sauchiehall Street,Glasgow,G3 7PQ,-4.273083,55.866048
95711,Cafe Bungalow,1363 Dumbarton Road,Glasgow,G14 9UZ,-4.343177,55.875742
31168,Cafe Castello Coffee House,61 Old Castle Road,Glasgow,G44 5TG,-4.257964,55.816491
23158,Cafe Cherubini,360 Great Western Road,Glasgow,G4 9HT,-4.276352,55.873833
91623,Cafe Circa,322 Crow Road,Glasgow,G11 7HS,-4.321842,55.877747
127496,Cafe Cosmo,12 Rose Street,Glasgow,G3 6QZ,-4.260859,55.865545
17904,Cafe Di Sorrento,470 Crow Road,Glasgow,G11 7DR,-4.325861,55.88132
22899,Cafe Euro,549 Duke Street,Glasgow,G31 1DL,-4.217936,55.858642
128349,Cafe Express,140 Sauchiehall Street,Glasgow,G2 3DH,-4.258023,55.865157
556086,Cafe Fornette,140 Sauchiehall Street,Glasgow,G2 3DH,-4.258023,55.865157
44283,Cafe Gandolfi,64 Albion Street,Glasgow,G1 1NY,-4.243579,55.858573
516677,Cafe Go Go,5 Cresswell Lane,Glasgow,,,
108523,Cafe Hula,321 Hope Street,Glasgow,G2 3PT,-4.256986,55.866281
19091,Cafe In Victorian Market,233 London Road,Glasgow,G40 1PE,-4.237417,55.853948
607008,Cafe India,29 Albion Street,Glasgow,G1 1LH,-4.244412,55.857775
95682,Cafe JJ,180 Dumbarton Road,Glasgow,G11 6XE,-4.29999,55.870769
73330,Cafe Katia,100 Borron Street,Glasgow,,-4.24894571,55.87401512
134208,Cafe La Padella,124 Woodlands Road,Glasgow,G3 6HB,-4.273911,55.869277
33024,Cafe Lavita,202 Gallowgate,Glasgow,G1 5DS,-4.238092,55.855419
618974,Cafe Lovestruck,751 Pollokshaws Road,Glasgow,G41 2AX,-4.271722,55.835345
49187,Cafe Ludovic,11 Lochleven Road,Glasgow,G42 9JU,-4.265209,55.825507
571746,Cafe Massimo,1009 Cathcart Road,Glasgow,G42 9XJ,-4.259091,55.827659
607039,Cafe Melegrano,105 Albert Drive,Glasgow,G41 2SU,-4.270098,55.841459
466607,Cafe Momentum (Scottish Enterprise),50 Waterloo Street,Glasgow,G2 6HQ,-4.261071,55.86067
23301,Cafe Noor,49 Kilmarnock Road,Glasgow,G41 3YN,-4.281972,55.829295
109495,Cafe Nye,20 India Street,Glasgow,,,
534342,Cafe Octavia,40 Edington Street,Glasgow,G4 9RD,-4.259395,55.872537
585895,Cafe Olive,513 Amulree Street,Glasgow,G32 7TW,-4.165765,55.842891
26685,Cafe Oliver,430 Dumbarton Road,Glasgow,G11 6SB,-4.310294,55.870936
48551,Cafe Osa,217 Hope Street,Glasgow,G2 2UW,-4.257905,55.863667
10395,Cafe Pearce,860 Govan Road,Glasgow,G51 3UU,-4.312603,55.863523
466604,Cafe Phoenix Ltd,262 Woodlands Road,Glasgow,G3 6NE,-4.277611,55.871869
48772,Cafe Ritazza,79 Gordon Street,Glasgow,G1 3SQ,-4.258211,55.859302
128567,Cafe Ritazza,1 Scottish Exhibition Centre,Glasgow,G3 8YW,-4.288154,55.86087
17637,Cafe Roots,63 North Frederick Street,Glasgow,G1 2BS,-4.248413,55.862025
585892,Cafe Roots (City Of Glasgow College),230 Cathedral Street,Glasgow,G1 2TG,-4.246071,55.863255
48647,Cafe Rouge,20 Royal Exchange Square,Glasgow,G1 3AB,-4.252561,55.86052
607016,Cafe Salma,523 Sauchiehall Street,Glasgow,G3 7PQ,-4.273083,55.866048
36423,Cafe Select,220 Buchanan Street,Glasgow,,,
551899,Cafe Serena,330 Maxwell Road,Glasgow,G41 1PJ,-4.273486,55.844506
31052,Cafe Solo,100 Minard Road,Glasgow,G41 2DL,-4.282445,55.833825
406803,Cafe Source Too,32 Hughenden Road,Glasgow,G12 9XP,-4.305399,55.881939
618960,Cafe Taste,1515 Dumbarton Road,Glasgow,G14 9XQ,-4.34962,55.878388
49149,Cafe Tiki,17 Gullane Street,Glasgow,G11 6AN,-4.306866,55.870551
511118,Cafe W,176 Argyle Street,Glasgow,G2 8BT,-4.256303,55.858645
